因子名称,用作条件的因子,使用的参数,归属指数,科目类别,partion_loc,start_day,end_day,trl_day,nmlz_days,年化收益率 （全时期）,超额收益（全时期）：,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,20,20,-8.45%,-18.41%,-1.04,-51.49%,-11.08%,-1.45,-46.53%,-2.98%,-0.29,-16.90%,-0.0007,-0.0086
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,20,20,2.54%,-7.43%,0.24,-68.97%,4.98%,0.32,-56.11%,-2.20%,0.04,-36.14%,-0.0007,-0.0086
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,20,20,12.01%,2.04%,0.54,-61.58%,18.07%,0.70,-52.49%,0.68%,0.14,-33.20%,-0.0007,-0.0086
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,30,20,-2.54%,-13.16%,-0.24,-35.36%,-5.37%,-0.57,-35.36%,3.32%,0.42,-10.48%,0.0011,0.0137
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,30,20,8.59%,-2.03%,0.45,-62.40%,11.23%,0.51,-55.94%,3.61%,0.28,-28.66%,0.0011,0.0137
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,30,20,10.74%,0.12%,0.52,-61.88%,16.41%,0.66,-48.38%,0.39%,0.14,-35.00%,0.0011,0.0137
circ_mv,circ_mv,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,10,20,10.25%,0.30%,1.17,-17.94%,14.75%,1.64,-12.03%,1.66%,0.23,-17.94%,0.0009,0.0115
circ_mv,circ_mv,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,10,20,12.50%,2.55%,0.56,-62.26%,18.07%,0.70,-54.24%,1.95%,0.20,-36.57%,0.0009,0.0115
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,10,20,1.76%,-8.20%,0.21,-70.61%,2.64%,0.24,-58.32%,0.20%,0.12,-34.29%,0.0009,0.0115
circ_mv,circ_mv,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,20,20,2.93%,-7.04%,0.42,-22.01%,5.96%,0.78,-21.52%,-2.88%,-0.27,-22.01%,-0.0009,-0.012
circ_mv,circ_mv,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,20,20,8.40%,-1.57%,0.44,-65.98%,14.26%,0.59,-53.74%,-2.39%,0.04,-34.33%,-0.0009,-0.012
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,20,20,4.98%,-4.99%,0.32,-68.04%,7.23%,0.40,-53.96%,0.59%,0.14,-35.62%,-0.0009,-0.012
circ_mv,circ_mv,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,30,20,-0.20%,-10.82%,0.04,-17.46%,-0.68%,-0.02,-14.28%,0.78%,0.15,-11.30%,-0.0014,-0.0208
circ_mv,circ_mv,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,30,20,7.62%,-3.01%,0.40,-68.17%,11.23%,0.50,-54.10%,0.78%,0.15,-33.97%,-0.0014,-0.0208
